Question,Answer
What is SSR in Next.js?,Server-Side Rendering: pages are rendered on the server at request time.
What is SSG in Next.js?,Static Site Generation: pages are rendered at build time as static HTML.
What is CSR in Next.js?,Client-Side Rendering: pages are rendered in the browser after JavaScript loads.
When should you use SSR?,For dynamic, user-specific, or frequently updated content.
When should you use SSG?,For static content that rarely changes, like blogs or docs.
When should you use CSR?,For highly interactive, app-like pages where SEO is not a priority.
What is a trade-off of SSR?,Higher server load and latency compared to SSG.
What is a trade-off of SSG?,Not suitable for dynamic or user-specific content unless using ISR.
Why is CSR bad for SEO?,Because content is rendered in the browser and may not be seen by search engines.
How do you implement SSR in Next.js?,Use getServerSideProps in your page component.
How do you implement SSG in Next.js?,Use getStaticProps in your page component.
How do you implement CSR in Next.js?,Use useEffect to fetch data on the client side.
