Question,Answer
"What does useContext use to decide if the context value changed?","Object.is (referential equality). A new object reference — even with identical contents — always triggers a re-render in all consumers."
"Why does passing an object literal directly to Provider value cause a performance problem?","Every render of the Provider creates a new object reference. Object.is(prev, next) is always false, so every consumer re-renders on every Provider render, even if the data hasn't changed."
"How do you fix an unstable context value that causes unnecessary re-renders?","Wrap the value in useMemo with the actual data values as deps: const value = useMemo(() => ({ user, theme }), [user, theme]). This ensures a new object is only created when the data actually changes."
"What is context splitting and when do you use it?","Splitting one large context into multiple smaller contexts by rate of change. A component subscribing to AuthContext won't re-render when SearchContext (which changes every keystroke) updates. Use when different pieces of state update at different frequencies."
"Does useContext have a built-in selector mechanism like Redux's useSelector?","No. useContext is all-or-nothing — the entire context value is subscribed. Any change re-renders ALL consumers. Redux's useSelector only re-renders when the selected slice changes."
"What happens when a component calls useContext but there is no Provider above it?","It receives the default value passed to createContext(). If createContext() was called with no argument, the value is undefined. Always pass a sensible default (e.g. null) and guard with a null check in a wrapper hook."
"What is the guard pattern for useContext and why is it important?","Create a wrapper hook: function useTheme() { const ctx = useContext(ThemeContext); if (!ctx) throw new Error('useTheme must be inside ThemeProvider'); return ctx; }. Without it, missing Provider causes cryptic downstream null errors instead of a clear message."
"Why is dispatch from useReducer safe to put in a separate context without causing extra re-renders?","The dispatch function returned by useReducer is always the same stable reference — it never changes between renders. A context that only contains dispatch will never cause its consumers to re-render from state changes."
"What causes useContext to return undefined intermittently in production but work in development? (monorepo scenario)","Multiple React instances. A library bundled with its own React copy creates a separate context registry. The Provider from one instance is invisible to consumers from the other. Fix: deduplicate React in the bundler (resolve.dedupe in Vite, alias in Webpack)."
"What is the all-or-nothing re-render problem with useContext?","When ANY value in the context changes, ALL components consuming that context re-render — there is no way to subscribe to only part of the context value. This is why Context doesn't scale well for high-frequency or many-consumer global state."
"When should you prefer Zustand or Redux over useContext?","When you have 10+ consumers across the app, high-frequency updates (keystrokes, scroll, real-time), need selector-based subscriptions, require middleware (logging, persistence), or need fine-grained control over which components re-render."
"What is the state + dispatch split context pattern?","Create two separate contexts: one for state (re-renders when state changes) and one for dispatch (stable — never changes). Components that only dispatch actions subscribe to DispatchContext and never re-render from state updates."
"What is the default value of createContext() used for?","It is only used when a component consumes the context but has NO Provider ancestor. It is NOT the initial value of the Provider — the Provider's value prop sets what consumers receive when a Provider is present."
"Can you use React.memo to prevent re-renders caused by useContext?","No. React.memo only prevents re-renders caused by prop changes. If a component calls useContext and the context value changes, it re-renders regardless of React.memo wrapping."
"What is the correct decision threshold for using useContext vs an external store?","useContext: scoped to a subtree, low-frequency updates, bounded consumers, no middleware needed. External store (Zustand/Redux): truly global, high-frequency, 10+ consumers, need selectors or middleware."
"How do you approximate a selector pattern with useContext without a library?","Split into granular contexts by data slice. Each context only contains closely related values that update together. Consumers subscribe only to the context containing their slice, ignoring unrelated state changes."
"What does Object.is compare for objects and arrays?","Reference equality only — not structural/deep equality. Two different object references with identical content are NOT equal. This is why inline object literals in Provider value always fail the equality check."
"What is the correct way to handle async operations (like login/logout) in a Context provider?","Use useReducer for atomic state transitions (FETCH_START, FETCH_SUCCESS, FETCH_ERROR), wrap async action creators in useCallback with stable deps, and include them in the useMemo value only if their references are stable."
"Why is React Strict Mode useful for catching Context bugs?","Strict Mode intentionally double-invokes effects (mount → cleanup → mount) in development. This surfaces missing cleanup and reveals Context providers that produce side effects — behaviours that would cause bugs in production."
"What is the recommended folder structure for a Context + Provider + hook pattern?","auth/AuthContext.ts (createContext), auth/AuthProvider.tsx (Provider component), auth/useAuth.ts (guard hook). Keeping the three pieces co-located makes the contract clear and prevents the guard hook from being skipped."
