What is the first rule of React performance work?,Measure first and optimize one bottleneck at a time.
Why should React performance optimization be done one component or flow at a time?,Because it lets you isolate the impact of each change and verify whether it actually improved the user experience.
Which Core Web Vital usually reflects how quickly the main visible content appears?,Largest Contentful Paint (LCP).
Which Core Web Vital measures interaction responsiveness?,Interaction to Next Paint (INP).
Which metric measures unexpected layout movement during loading?,Cumulative Layout Shift (CLS).
Why should performance testing use a production build instead of a development build?,Because the development build includes extra React checks and overhead that distort real performance.
Why should you test with Slow 4G and disabled cache during diagnosis?,To approximate real user constraints and expose network and payload bottlenecks clearly.
What is one of the most common first wins in a slow React app?,Reducing the amount of JavaScript shipped in the initial bundle.
How do minification and compression improve frontend performance?,They reduce the transfer size of JavaScript and CSS so the browser downloads less data.
What is the practical goal of code splitting?,To load only the code needed for the current screen and defer the rest until it is required.
Which React API is commonly used for component-level code splitting?,React.lazy with Suspense.
What kind of features are good candidates for lazy loading?,Rarely visited routes, admin screens, charts, maps, editors, and heavy modals.
How does tree shaking help performance?,It removes unused code from the final bundle so less JavaScript is shipped to the browser.
Why should unused npm packages be removed even if they are not imported often?,Because they add maintenance cost and can still increase bundle size or duplicate dependencies.
What command can help find unused dependencies in a JavaScript project?,npx depcheck.
Which tool helps identify the heaviest route chunks or vendor libraries in a build?,A bundle analyzer.
What question should you ask first when looking at a bundle analyzer?,Which large chunk is actually on the critical path for the initial screen?
Why are hashed static assets good candidates for long immutable caching?,Because their filenames change when the content changes, making them safe to cache aggressively.
What is the benefit of serving static assets through a CDN?,It reduces latency and improves caching by serving content closer to the user.
What does rel="preconnect" help with?,It reduces connection setup time to a critical origin before the browser needs the resource.
When should you preload a resource?,Only when it is definitely needed for the initial render and is important to early paint.
What is intent-based prefetching?,Preloading code or data when user behavior strongly suggests it will be needed soon, such as on hover.
How can SSR improve perceived performance?,It sends renderable HTML earlier so users can see content before all client JavaScript finishes loading.
Why does hydration still matter in an SSR app?,Because the client still has to download and execute JavaScript to make the page interactive.
What kind of work should often be moved to the server instead of the browser?,Data aggregation, heavy transformation, permissions checks, and logic that is not needed for client interactivity.
What is a common cause of slow React apps that is not really a React rendering problem?,Network waterfalls and poor data-fetching strategy.
Why is TanStack Query often better than ad hoc useEffect fetching in larger apps?,It provides caching, deduplication, background refetching, and consistent loading and error handling.
Why use AbortController in data-fetching effects?,To cancel stale or irrelevant requests when a component unmounts or dependencies change.
What is a waterfall in data fetching?,A sequence where one request waits for another before starting, increasing total load time.
What architectural issue should you check before adding memoization?,Whether state is lifted too high and causing unnecessarily broad rerenders.
When do useMemo and useCallback usually help?,When they protect expensive calculations or stabilize props used by memoized children.
Why is adding useMemo and useCallback everywhere a mistake?,Because they add their own overhead and complexity and often provide no benefit if the work is cheap.
What does React Compiler aim to reduce?,The need for manual memoization of values and functions in supported codebases.
What kind of update is a good candidate for startTransition?,A non-urgent update like refreshing filtered results while keeping typing responsive.
When is useDeferredValue useful?,When the input should update immediately but the derived UI can lag slightly without harming UX.
Why do large lists often need virtualization?,Because rendering hundreds or thousands of DOM nodes at once is expensive.
Which libraries are commonly used for React list virtualization?,react-window, react-virtualized, and @tanstack/react-virtual.
Why should images always include width and height attributes?,To reserve layout space and prevent cumulative layout shift.
Why are srcSet and sizes important for responsive images?,They let the browser choose an appropriately sized image for the device and viewport.
When should fetchpriority="high" be used on an image?,Only for the true LCP or hero image that is critical to the first meaningful paint.
Why should below-the-fold images usually use loading="lazy"?,So they do not compete with above-the-fold resources during the initial load.
Which React DevTools tab is used to record and analyze component rerenders?,Profiler.
In React profiling terms, what is a commit?,A completed update whose rendered changes are applied to the DOM.
How can developers filter out insignificant rerenders in the Profiler?,By hiding commits below a duration threshold and focusing on meaningful interactions.
What does the React Profiler help you identify besides slow components?,Why components rerendered and whether props or state actually changed.
What are React 19 performance tracks?,React-specific timeline tracks in the browser Performance panel that show Scheduler, Components, and Server work.
Which phases can appear for a render pass in React performance tracks?,Update, Render, Commit, and Remaining Effects.
What does the Scheduler track help you understand?,The priority and timing of React work such as blocking, transition, suspense, and idle tasks.
Why should you correlate React profiling with the browser Performance tab?,Because a slow interaction may be caused by layout, images, third-party scripts, or long tasks rather than React alone.
What is the most senior-sounding way to talk about React performance in interviews?,Describe a measurement-driven process that targets the biggest current bottleneck and verifies results after each change.
What is a strong short answer for how code splitting improves LCP?,It removes non-critical JavaScript from the initial load so visible content can render sooner.
What is a strong short answer for how to find the heaviest components?,Run a production build with a bundle analyzer and inspect the largest chunks first.
What is the best overall principle for React performance work?,Optimize from the real user journey, not from assumptions.
