What is the primary reason for optimizing React components one at a time rather than the entire app at once?,It allows developers to track the impact of specific changes and ensures a consistently optimized build process.
"In the context of web vitals, what does the 'LCP' acronym stand for?",Largest Contentful Paint.
Why is it necessary to disable cache and use network throttling when testing app performance?,These settings simulate real-world conditions for users who do not have high-end hardware or super-fast internet.
What network throttling speed does Shruti Kapoor recommend for baseline performance testing?,Slow 4G or 3G.
Which Vite configuration property is used to compress and minify JavaScript code during the build process?,minify.
What is the purpose of setting 'cssMinify' to true in the Vite configuration?,It reduces the size of CSS files by removing unnecessary characters and whitespace.
How does code splitting improve the Largest Contentful Paint (LCP) of an application?,"It divides the code into smaller chunks, allowing the browser to load only what is necessary for the initial view."
Which tool provides a visual graph to help developers identify which node modules or components are the largest in a bundle?,Bundle Analyzer.
What command can be used to identify npm dependencies that are listed in package.json but not used in the code?,npx depcheck.
What is the benefit of deleting the 'node_modules' folder and performing a clean install during optimization?,"It ensures that the bundle size reflects only the current, necessary dependencies without cached bloat."
Which React DevTools tab is used to record and analyze component rerenders?,Profiler.
"In the React Profiler, what does a 'commit' represent?",A point in time when React applies changes to the DOM.
How can a developer filter out insignificant rerenders in the React Profiler?,"By hiding commits that fall below a specific millisecond threshold, such as 5ms."
What information does the React Profiler provide regarding why a specific component rerendered?,It displays which props or state changes triggered the update.
What is the primary function of the React Compiler in modern React development?,It automatically memoizes components to prevent unnecessary rerenders without manual hooks like useMemo.
How does the React Profiler indicate that a component has been optimized by the React Compiler?,It displays a sparkle icon and a message stating the component was auto-memoized.
Which new feature in React 19 helps developers visualize component rendering phases and blocking time?,Custom performance tracks in the Performance tab.
What does 'blocking time' represent in a React 19 performance trace?,"The duration during which the main thread is occupied by rendering, preventing user interaction."
Why should utility functions like 'formatRuntime' be moved outside of a React component's body?,To prevent the function from being recreated every time the component renders.
What is the advantage of using a virtualized list for components with hundreds of items?,"It only renders the items currently visible on the screen, saving memory and processing time."
Which library does Shruti Kapoor recommend for implementing virtualized lists in React?,React Virtualized.
What is the purpose of using 'React.lazy' for components like a movie player?,It defers the loading of the component's code until it is actually needed by the user.
Why is an 'AbortController' necessary when using 'useEffect' for data fetching?,"It cancels the fetch request if the component unmounts, preventing background data processing."
"The 'element render delay' phase of LCP is often caused by the browser waiting for _____, _____, and data to load.",stylesheets; JavaScript.
How does Server-Side Rendering (SSR) reduce the 'element render delay'?,It makes resources discoverable in the HTML source and allows content to render without waiting for additional JavaScript requests.
"Which React framework does the video suggest for implementing full SSR, streaming, and server functions?",TanStack Start.
What is a 'server function' in the context of TanStack Start?,A function that executes code on the server to fetch data before sending it to the client.
How does moving data fetching from a client-side 'useEffect' to a server 'loader' improve performance?,"It ensures the data is ready as soon as the component loads, eliminating client-side fetch delays."
"Why is it beneficial to move large local assets, like background images, to a Content Delivery Network (CDN)?",CDNs serve assets from locations closer to the user and offload work from the main application server.
Which HTML attribute can be used to tell the browser that an image is critical and should be loaded immediately?,"fetchPriority=""high""."
"What is the effect of adding 'loading=""lazy""' to an image tag?",The browser delays loading the image until it is near the user's viewport.
"For video elements, why should the 'preload' attribute be set to 'metadata'?","It instructs the browser to only load essential information like duration, rather than the entire video file."
Why is it important to define a specific 'height' for video elements during the loading phase?,"It reserves space on the page, preventing layout shifts when the video eventually loads."
What does the 'preload intent' feature in TanStack Router do?,It starts preloading a route's data as soon as a user hovers over a link.
How does TanStack Router's built-in caching improve navigation speed?,It stores previously visited routes so they do not need to be refetched when the user returns to them.
"In the video's case study, what was the initial LCP of the slow app on slow 4G?",28 seconds.
Which specific component was identified as the 'heaviest' chunk in the bundle analyzer?,MovieDetail.
"By implementing SSR and asset optimizations, Shruti Kapoor reduced the LCP from 28 seconds to approximately _____.",1.27 seconds.
What is the 'Resource Load Delay' in the LCP breakdown?,The time between when the page starts loading and when the browser starts fetching the LCP resource.
Which file in a TanStack Router project is typically used to specify the priority and preloading of stylesheets?,root.tsx.
How does preloading CSS improve the rendering speed of a React application?,It ensures the browser prioritizes downloading the styles needed to paint the page content.
What is the 'Resource Load Duration' metric?,The time it takes for the browser to fully download the LCP resource once the request has started.
"Why should images not important to the initial view avoid 'fetchPriority=""high""'?",Overusing high priority can delay the loading of truly critical assets by saturating the network.
What is the difference between Gzip and Brotli compression?,"Brotli generally offers better compression ratios than Gzip, resulting in even smaller bundle sizes."
"In TanStack Start, which function is used to retrieve data from a server function within a component?",The loader function.
What performance issue is addressed by preventing 'layout shift'?,"Unexpected movement of page content, which improves the Cumulative Layout Shift (CLS) score."
What role does the 'main.tsx' file play in a TanStack Router setup?,It initializes the router instance and wraps the application in a RouterProvider.
How does the 'usePopularMovies' hook contribute to slowness if left on the client side?,It forces the browser to wait for the JavaScript to execute before starting the API fetch request.
What is the primary goal of the 'Framework to Optimize' presented in the video?,"To provide a structured approach involving measurement, bundle analysis, code improvement, and SSR."
Which tool would you use to see if a specific hook is causing a long render phase in React 19?,React 19 Performance Tracks.
